reef,visit,site,acaneam,acanalgae,acandeter,scaream,sigalgae,total_herbs,coral,algae,PS
FITZROY ISLAND REEF,3,1,0,0,3,13,12,28,32.74940185,0,0
FITZROY ISLAND REEF,3,2,2,7,3,29,9,50,33.20630634,0.137931034,0
FITZROY ISLAND REEF,3,3,1,1,3,11,7,23,25.95712548,0,0
FITZROY ISLAND REEF,4,1,1,2,1,24,4,32,40.04989746,0,0
FITZROY ISLAND REEF,4,2,1,1,0,9,16,27,36.83819095,0,0
FITZROY ISLAND REEF,4,3,3,1,12,26,11,53,31.95168526,0.1,0
FITZROY ISLAND REEF,5,1,0,2,2,4,4,12,41.77474169,0.408755148,0
FITZROY ISLAND REEF,5,2,0,1,0,2,4,7,39.38241206,0.1,0
FITZROY ISLAND REEF,5,3,1,0,7,7,4,19,28.37368421,0.1,0
FITZROY ISLAND REEF,6,1,1,3,2,11,14,31,34.72293822,0.200502513,0
FITZROY ISLAND REEF,6,2,0,0,1,20,8,29,34.44221106,0,0
FITZROY ISLAND REEF,6,3,0,2,7,23,9,41,33,0.1,0
FITZROY ISLAND REEF,7,1,0,0,1,22,5,28,37.26597938,5.4,0
FITZROY ISLAND REEF,7,2,2,5,0,25,25,57,32.4,0.9,0
FITZROY ISLAND REEF,7,3,2,0,0,9,6,17,26.16060606,8.4,0
FITZROY ISLAND REEF,8,1,4,0,1,22,14,41,12.54867808,0.1,0
FITZROY ISLAND REEF,8,2,2,1,0,29,30,62,6.133749257,0,0
FITZROY ISLAND REEF,8,3,6,2,5,35,18,66,1.8,0.1,0
FITZROY ISLAND REEF,9,1,0,0,1,11,11,23,14.36797533,0.100502513,0
FITZROY ISLAND REEF,9,2,4,0,0,7,8,19,3,0,0
FITZROY ISLAND REEF,9,3,9,0,5,10,12,36,1.533873144,0,0
FITZROY ISLAND REEF,10,1,2,2,2,19,20,45,16.75638622,0.505263158,0
FITZROY ISLAND REEF,10,2,3,0,1,17,8,29,5.898089012,3.25257732,0
FITZROY ISLAND REEF,10,3,2,0,0,4,16,22,2.307890516,2.596247193,1
FITZROY ISLAND REEF,11,1,3,0,0,13,7,23,15.41880342,0.2,0
FITZROY ISLAND REEF,11,2,1,0,0,6,5,12,4.5,0.6,0
FITZROY ISLAND REEF,11,3,1,2,0,4,14,21,1.4,0.1,0
FITZROY ISLAND REEF,12,1,1,0,4,31,5,41,19.16568547,0,0
FITZROY ISLAND REEF,12,2,1,0,1,6,9,17,7.133108878,0,0
FITZROY ISLAND REEF,12,3,2,0,4,3,11,20,2.911111111,0.2,0
FITZROY ISLAND REEF,13,1,0,0,2,14,16,32,30.30314172,0.101522843,0
FITZROY ISLAND REEF,13,2,8,0,0,20,14,42,11.03959391,0,0
FITZROY ISLAND REEF,13,3,4,2,1,10,6,23,4.7,0,0
FITZROY ISLAND REEF,15,1,0,0,1,12,4,17,34.55025126,0.1,0
FITZROY ISLAND REEF,15,2,2,0,0,14,18,34,11.42222222,0.1,0
FITZROY ISLAND REEF,15,3,0,1,0,10,12,23,7.526754987,0.101010101,0
HAVANNAH REEF,5,1,0,0,0,28,3,31,38.72926829,0.200125078,0
HAVANNAH REEF,5,2,0,0,0,48,6,54,41.5,1.2,0
HAVANNAH REEF,5,3,0,0,0,28,0,28,48.30487805,0,0
HAVANNAH REEF,6,1,0,0,0,8,0,8,26.23333333,2.322222222,0
HAVANNAH REEF,6,2,1,0,1,60,2,64,28.53846154,1.630769231,0
HAVANNAH REEF,6,3,0,0,0,43,4,47,28.40473261,1.005065887,0
HAVANNAH REEF,7,1,0,0,0,21,3,24,24.72110553,6.716080402,0
HAVANNAH REEF,7,2,0,0,0,13,2,15,21.32713568,2.10201005,0
HAVANNAH REEF,7,3,0,0,0,27,2,29,19.92859363,3.201010101,0
HAVANNAH REEF,8,1,0,0,0,56,3,59,16.94646465,6.703030303,0
HAVANNAH REEF,8,2,0,0,0,61,1,62,7.2,0.5,0
HAVANNAH REEF,8,3,0,2,0,8,0,10,9.66897307,0,0
HAVANNAH REEF,9,1,2,0,0,23,3,28,13.01827542,16.28095238,1
HAVANNAH REEF,9,2,2,0,0,35,8,45,4.397560976,18.45365854,1
HAVANNAH REEF,9,3,0,1,0,28,9,38,4.685365854,8.048780488,1
HAVANNAH REEF,10,1,0,0,0,21,4,25,10.3,52.7,1
HAVANNAH REEF,10,2,0,0,0,10,3,13,3.197560976,33.55365854,1
HAVANNAH REEF,10,3,0,0,0,10,4,14,3.876785322,56.8781678,1
HAVANNAH REEF,11,1,0,0,0,16,5,21,10.2,58.8,1
HAVANNAH REEF,11,2,0,0,0,23,4,27,4.2,59.9,1
HAVANNAH REEF,11,3,4,0,0,18,10,32,4.2,58.2,1
HAVANNAH REEF,12,1,0,0,0,20,5,25,6.2,61,1
HAVANNAH REEF,12,2,1,0,0,71,9,81,4.1,54.6,1
HAVANNAH REEF,12,3,1,0,0,11,13,25,4.006532663,65.68140704,1
HAVANNAH REEF,13,1,0,0,0,14,6,20,11.13969849,54.38241206,1
HAVANNAH REEF,13,2,0,0,0,15,1,16,6.833502538,43.44314721,1
HAVANNAH REEF,13,3,0,0,1,50,7,58,5.610050251,49.52261307,1
HAVANNAH REEF,15,1,0,0,0,48,1,49,12.02843823,41.31895882,1
HAVANNAH REEF,15,2,1,0,0,38,2,41,4.20201005,35.61557789,1
HAVANNAH REEF,15,3,2,0,0,46,20,68,4.4,44.9,1
LOW ISLANDS REEF,3,1,0,1,1,18,15,35,25.84764663,0.666666667,0
LOW ISLANDS REEF,3,2,0,0,0,12,2,14,34.13982051,0,0
LOW ISLANDS REEF,3,3,0,0,0,11,12,23,44.03986332,0,0
LOW ISLANDS REEF,4,1,3,0,4,15,2,24,35.2,0.2,0
LOW ISLANDS REEF,4,2,2,2,0,24,9,37,39.38495156,0,0
LOW ISLANDS REEF,4,3,0,0,0,11,2,13,43.36829268,0,0
LOW ISLANDS REEF,5,1,0,0,2,10,2,14,23.3,0,0
LOW ISLANDS REEF,5,2,3,0,4,20,2,29,34.68717949,0.71025641,0
LOW ISLANDS REEF,5,3,0,0,0,4,10,14,48.3,0.5,0
LOW ISLANDS REEF,6,1,3,0,2,58,62,125,30,0.2,0
LOW ISLANDS REEF,6,2,3,1,3,25,20,52,23.53913043,0.1,0
LOW ISLANDS REEF,6,3,1,1,1,14,9,26,37.5,0.1,0
LOW ISLANDS REEF,7,1,4,0,1,25,32,62,20.03350084,1.507537688,0
LOW ISLANDS REEF,7,2,2,0,3,79,13,97,19.8295747,1.5,0
LOW ISLANDS REEF,7,3,2,1,2,18,22,45,24.16161616,2.8,0
LOW ISLANDS REEF,8,1,2,2,1,44,7,56,9.76597186,2.772902126,0
LOW ISLANDS REEF,8,2,0,0,3,66,15,84,9.2,8.5,0
LOW ISLANDS REEF,8,3,0,1,3,30,4,38,7.646153846,0.4,0
LOW ISLANDS REEF,9,1,1,1,2,7,25,36,9.921212121,0.7,0
LOW ISLANDS REEF,9,2,3,6,3,23,22,57,9.851754047,0.620782726,0
LOW ISLANDS REEF,9,3,11,4,11,30,25,81,7.85944134,0.601507538,0
LOW ISLANDS REEF,10,1,2,1,4,38,14,59,12.8,2.3,0
LOW ISLANDS REEF,10,2,2,1,6,7,19,35,10.52929293,1.4,0
LOW ISLANDS REEF,10,3,7,7,5,13,28,60,9.685365854,1.882926829,0
LOW ISLANDS REEF,11,1,3,2,0,11,23,39,10.71256281,4.003015075,0
LOW ISLANDS REEF,11,2,1,5,0,22,36,64,13,9.3,0
LOW ISLANDS REEF,11,3,5,14,1,20,17,57,9.1,10.6,1
LOW ISLANDS REEF,12,1,5,3,3,40,13,64,12.5875,0.1,0
LOW ISLANDS REEF,12,2,2,2,3,33,12,52,12.08035457,0.3,0
LOW ISLANDS REEF,12,3,11,13,4,25,9,62,10.27691019,0.3,0
LOW ISLANDS REEF,13,1,7,0,2,33,25,67,16,0,0
LOW ISLANDS REEF,13,2,10,2,4,31,11,58,15.7,0,0
LOW ISLANDS REEF,13,3,11,5,3,13,28,60,16.2,0,0
LOW ISLANDS REEF,15,1,0,0,1,29,10,40,15.4,0.4,0
LOW ISLANDS REEF,15,2,4,2,1,37,5,49,17.8,0.5,0
LOW ISLANDS REEF,15,3,3,7,4,15,14,43,21.4,0.5,0